# E_Mean  E_Lower  E_Upper  FastNeutron  AtmosphericCC  AtmosphericNC  Accidental  Spallation  Reactor
 7.55   7.50   7.60    0.1449    0.0312    0.4573    0.0115    2.7276    3.5989
 7.65   7.60   7.70    0.1449    0.0313    0.4575    0.0400    2.6426    2.6341
 7.75   7.70   7.80    0.1449    0.0315    0.4577    0.0415    2.5571    1.9189
 7.85   7.80   7.90    0.1449    0.0317    0.4579    0.0675    2.4713    1.3944
 7.95   7.90   8.00    0.1449    0.0318    0.4580    0.0195    2.3853    1.0119
 8.05   8.00   8.10    0.1449    0.0320    0.4582    0.0110    2.2990    0.7346
 8.15   8.10   8.20    0.1449    0.0322    0.4584    0.0305    2.2123    0.5352
 8.25   8.20   8.30    0.1449    0.0323    0.4586    0.0395    2.1251    0.3927
 8.35   8.30   8.40    0.1449    0.0325    0.4588    0.0300    2.0371    0.2908
 8.45   8.40   8.50    0.1449    0.0327    0.4590    0.0315    1.9482    0.2174
 8.55   8.50   8.60    0.1449    0.0329    0.4591    0.0595    1.8586    0.1641
 8.65   8.60   8.70    0.1449    0.0330    0.4590    0.0480    1.7686    0.1247
 8.75   8.70   8.80    0.1449    0.0332    0.4583    0.0125    1.6783    0.0951
 8.85   8.80   8.90    0.1449    0.0334    0.4567    0.0570    1.5878    0.0727
 8.95   8.90   9.00    0.1449    0.0335    0.4544    0.0015    1.4975    0.0554
 9.05   9.00   9.10    0.1449    0.0337    0.4519    0.0290    1.4074    0.0421
 9.15   9.10   9.20    0.1449    0.0339    0.4494    0.0095    1.3177    0.0318
 9.25   9.20   9.30    0.1449    0.0340    0.4469    0.0005    1.2285    0.0238
 9.35   9.30   9.40    0.1449    0.0342    0.4444    0.0095    1.1400    0.0177
 9.45   9.40   9.50    0.1449    0.0344    0.4419    0.0005    1.0524    0.0130
 9.55   9.50   9.60    0.1449    0.0346    0.4394    0.0095    0.9663    0.0094
 9.65   9.60   9.70    0.1449    0.0347    0.4368    0.0005    0.8818    0.0068
 9.75   9.70   9.80    0.1449    0.0349    0.4343    0.0100    0.7995    0.0048
 9.85   9.80   9.90    0.1449    0.0351    0.4318    0.0100    0.7196    0.0033
 9.95   9.90  10.00    0.1449    0.0352    0.4293    0.0095    0.6423    0.0021
10.05  10.00  10.10    0.1449    0.0354    0.4268    0.0010    0.5679    0.0000
10.15  10.10  10.20    0.1449    0.0356    0.4242    0.0190    0.4968    0.0000
10.25  10.20  10.30    0.1449    0.0357    0.4217    0.0010    0.4292    0.0000
10.35  10.30  10.40    0.1449    0.0359    0.4192    0.0190    0.3655    0.0000
10.45  10.40  10.50    0.1449    0.0361    0.4167    0.0005    0.3063    0.0000
10.55  10.50  10.60    0.1449    0.0363    0.4142    0.0100    0.2519    0.0000
10.65  10.60  10.70    0.1449    0.0364    0.4117    0.0105    0.2026    0.0000
