# E_Mean  E_Lower  E_Upper  Observed
 8.00   7.50   8.50    7.0000
 9.00   8.50   9.50    0.0000
10.00   9.50  10.50    1.0000
11.00  10.50  11.50    0.0000
12.00  11.50  12.50    1.0000
13.00  12.50  13.50    0.0000
14.00  13.50  14.50    0.0000
15.00  14.50  15.50    1.0000
16.00  15.50  16.50    1.0000
17.00  16.50  17.50    1.0000
18.00  17.50  18.50    1.0000
19.00  18.50  19.50    0.0000
20.00  19.50  20.50    0.0000
21.00  20.50  21.50    2.0000
22.00  21.50  22.50    0.0000
23.00  22.50  23.50    1.0000
24.00  23.50  24.50    0.0000
25.00  24.50  25.50    0.0000
26.00  25.50  26.50    0.0000
27.00  26.50  27.50    0.0000
28.00  27.50  28.50    1.0000
29.00  28.50  29.50    0.0000
30.00  29.50  30.50    1.0000
